"id","alter","gender","bedingung","hoehe_cm","distanz_m","zeit_sec"
1,21,"female","neutral",62.5,2.45,22.95
2,22,"male","neutral",38,0.45,30.52
3,24,"female","risk",72,2.81,14.5
4,19,"female","neutral",43,1.7,12.1
5,20,"female","risk",43,1.7,18.8
6,21,"male","neutral",54,NA,9.8
7,21,"female","neutral",63,2.48,26.03
8,21,"female","risk",38,0.45,20.14
9,26,"male","risk",84,3.3,14.7
10,23,"male","risk",98,3.91,37.7
11,22,"female","neutral",76,2.96,15.8
12,20,"female","risk",65,2.53,12.4
13,23,"female","neutral",39,1.5,10.9
14,21,"male","risk",100,4.96,15
15,22,"male","neutral",80,3.12,30.3
16,21,"female","neutral",42,1.38,9.6
17,20,"female","risk",48,1.83,28.9
18,18,"female","neutral",100,4,16.9
19,32,"male","risk",75,2.95,12.8
20,28,"male","neutral",77.5,3.04,48.13
